job_id,created_at,description,role_id
153,2025-09-02 05:40:33.330861+00," Сейчас мы в поиске  аналитика данных , который поможет нам лучше понимать поведение пользователей, эффективно управлять рекламными кампаниями и масштабировать рост продуктов.   Обязанности:       Сбор, анализ и визуализация данных из платформ Adjust, Google Analytics, Firebase, AppMetrica и других систем мобильной аналитики.       Построение сквозной аналитики по каналам привлечения и воронкам пользовательского поведения.       Подготовка регулярных отчётов по KPI (LTV, CAC, Retention, ARPU, ROI и др.).       Оценка эффективности рекламных каналов (UA), анализ трафика, сегментация пользователей.       Участие в планировании A/B тестов и анализ результатов.       Взаимодействие с маркетингом, продуктовой командой и BI-отделом.       Требования:       Опыт работы с Adjust, Google Analytics / Firebase от 1 года.       Уверенное знание SQL (BigQuery будет плюсом).       Навыки построения дашбордов в Data Studio, Power BI, Tableau или аналогичных BI-инструментах.       Понимание метрик мобильных продуктов и digital-маркетинга.       Умение структурировать данные и формулировать выводы для принятия решений.       Будет плюсом: опыт работы с Amplitude / AppsFlyer / AppMetrica / Looker.       Условия:       Конкурентная заработная плата (обсуждается с финальным кандидатом).       Гибкий график, возможность удалённой работы.       Участие в развитии продуктов с многомиллионной аудиторией.        Д ружелюбная команда профессионалов.       Возможности роста и обучения.     ",156
154,2025-09-02 05:40:33.330861+00," Компания My Freighter является одной из самых быстрорастущих компаний по грузовым авиаперевозкам в Узбекистане и Центральной Азии.   Также под брендом Centrum Air компания My Freighter выполняет пассажирские рейсы.   Наша команда профессионалов позаботится о Ваших индивидуальных потребностях с максимальной заботой, вниманием и предоставит Вам индивидуальные решения для чартерных авиаперевозок практически в любую точку мира.   Присоединяйся к команде профессионалов!    Обязанности:      Анализировать данные: SQL, Power BI, Excel. Понять, что, где и зачем;   Подготавливать отчёты и дашборды, объяснять бизнесу, что там видно;   Находить аномалии, тренды и идеи для улучшений;   Участвовать в построении хранилища данных - архитектуры DWH;   Работать с командами продаж, маркетинга, логистики и другими — общаться с людьми, а не только с цифрами.      Требования:      Высшее образование;   Опыт работы: от полугода;   Уверенное владение MS Excel (сводные таблицы, формулы, базовая визуализация) и другие программами MS Office;   Опыт работы с системами визуализации данных (предпочтительно Power BI);   Знания Jira и/или Confluence будут преимуществом;   Опыт командной работы в Miro или Figma будет преимуществом;   Уверенное знание SQL – простые выборки и джоины;   Power BI (или любой другой BI-инструмент) – сбор дашбордов, понимание логики визуализации;   Опыт работы с Excel – отчёты, сводные таблицы;   Базовые знания Python для анализа данных – на уровне pandas, numpy - будет преимуществом;     Знание API будет преимуществом;     Знание английского на уровне не ниже B1–B2, (умение читать техническую документацию);   Знание русского и узбекского.      Личностные качества:      Здравый смысл и умение приоритизировать задачи;   Способность работать самостоятельно;   Интерес к глубинному пониманию данных, а не просто механическому выполнению задач;   Аккуратность в работе с цифрами и внимание к деталям;   Умение грамотно излагать мысли, как письменно, так и устно;.   Открытость к новым знаниям, умение быстро адаптироваться к новым инструментам и задачам;   Способность поддерживать деловой и уважительный стиль общения в команде и с другими подразделениями.     Условия:     Рабочий график: 5/2 с 9:00 - 18:00 либо с 8:00 - 17:00;   Офис в центре города (ул. Айбека, 38);   Обед за счёт компании;   Возможности для профессионального развития;   Оформление согласно ТК РУз;   Льготные авиабилеты 1 раз в год;    Заработная плата обсуждается индивидуально на собеседовании.   ",156
155,2025-09-02 05:40:33.330861+00,"     Строим экосистему для автомобилистов: пользователи, транзакции, карты, активность — большие данные и амбициозные цели.     Что нужно будет делать:  - Формировать отчеты: привязки карт, активность пользователей, физлица/юрлица; - Писать SQL-запросы для получения данных; - Строить дешборды в Metabase / Redash; - Помогать продукту формулировать метрики успеха; - Выявлять аномалии и находить инсайты.     Требования:  - Отличные знания SQL (join, group by, подзапросы); - Понимание метрик продукта: Retention, DAU, Churn и т.д.; - Опыт работы с BI-системами (Metabase, PowerBI, Tableau); - Внимательность и аккуратность в расчетах; - Плюсом будет опыт в Python, Amplitude, Mixpanel.    Условия:    - График работы: 5/2, с 9:00 - 18:00 (в офисе);   - Уютный офис в центре города;   - Есть испытательный срок 3 месяца. ",156
156,2025-09-02 05:40:33.330861+00," Обязанности:       Сбор, очистка и анализ финансовых и кредитных данных для расчёта ожидаемых кредитных потерь (ECL) по стандарту IFRS 9.       Разработка и сопровождение моделей ECL совместно с командами рисков и финансов.       Проведение валидации моделей, тестов на чувствительность, подготовка отчётности.       Участие в подготовке данных и пояснений для внутренних и внешних проверок.       Мониторинг изменений в нормативных требованиях и адаптация моделей.       Требования:       Высшее образование в области data science, финансов, статистики, математики или экономики.       Уверенное знание SQL, Python, R или SAS; опыт с BI-инструментами (Power BI, Tableau, Excel).       Опыт работы с кредитным риском или резервированием по IFRS 9 будет плюсом.       Внимание к деталям, аналитический склад ума, умение работать в команде и доносить результаты.       Условия:       Участие в сложных и значимых проектах в сфере банковской аналитики.       Профессиональное развитие в команде экспертов.       Конкурентная заработная плата.     ",156
157,2025-09-02 05:40:33.330861+00,"  Должностные обязанности:      Осуществляет работу по цифровизации, сбору, обработке, хранению данных в отделе трейд маркетинга, а также составлению и поддержанию текущих аналитических отчётов, запусков, мотивационных программ и опросов, предоставляя своевременную коммуникацию смежным отделам. Внедряет новые методы и предложения по совершенствованию текущих подходов к анализу и методологий компании.   Выявляет закономерности полученных данных из базы данных, проводит оценочную проверку работы полевых сотрудников с электронных (PowerBI) и физических носителей. На основе полученных результатов предоставляет доступные и удобные цифровые (электронные) отчёты. (Excel, Power Point etc.)   Занимается поддержанием актуальной информации в справочниках базы данных (торговое оборудование, АКБ, визиты, аудиты) и вносит необходимые изменения в систему TME Siebel по запросу от ТП или Менеджеров.   Взаимодействует с отделами продаж и бренд маркетинга для планирования и реализации отчётностей по новым запускам, мотивационным программам и опросам.      Требования      Высшее образование, предпочтительно в сфере менеджмента, маркетинга, экономики, технических специальностей   Опыт работы в сфере администрирования базы данных и аналитике не менее 2х лет    Русский язык – свободное владение. Знание устного и письменного английского языка на уровне выше среднего. Предпочтительно свободное владение узбекским языком   Навыки продвинутого пользователя в компьютерных программах MS Office, Outlook, Power BI (базовый уровень)   Навыки межличностного общения.       ",156
158,2025-09-02 05:40:33.330861+00," Обязанности:     Разрабатывать и настраивать стратегию принятия решений;   Изучение текущего кода, поиск алгоритмических ошибок;   Тестирование существующего кода и доработка;   Анализ кредитного портфеля, поиск потенциала для увеличения AR (approval rate);   Разрабатывать аналитические и мониторинговые отчеты по рискам и проводить углубленный анализ различных сегментов кредитного портфеля;   Работать с командой IT бизнес аналитиков и командой дата-сайентистов для внедрения и настройки изменений в процесс кредитного конвейера;   Постоянно искать и анализировать альтернативные источники данных;   Мониторить качество данных, работу боевых сервисов и систем;   Написание документации по внесённым изменениям.     Требования:     высшее техническое, математическое, экономическое образование;   опыт работы в ИТ от 1-го года или прохождение профильных курсов;   желательно знание и опыт в области математического и статистического анализа;   желательно знание кредитных процессов и риск-моделей;   обязательно знание языка программирования, алгоритмов и структур данных;   обязательно знание SQL и навыки работы с БД;   знание REST, Python (Pandas, NumPy);   Отличные аналитические навыки;   Внимание к мелочам;   Способность оптимизировать сложные процессы;   Инициативность и ответственность;   Умение соблюдать жесткие сроки с отличными навыками последующего контроля и мониторинга.     Условия:     Официальное трудоустройство согласно ТК РУз;   Официальную своевременную заработную плату 2 раза в месяц;   Работа в дочернем Банке АО «Народный банк Казахстана»;   График работы 5/2 с 9.00 до 18.00 в современном офисе;   Возможность построить карьеру в международной команде.   ",156
159,2025-09-02 05:40:33.330861+00,"     Привет! Мы, новый цифровой банк в Узбекистане, находимся в поиске Стажера Аналитика данных    Чем предстоит заниматься:      Поддержка команды аналитиков в сборе, обработке и анализе данных.   Написание, оптимизация и отладка SQL-запросов для извлечения данных из банковских систем.   Автоматизация рутинных аналитических задач с помощью SQL и скриптов.   Помощь в исследовании клиентского поведения, условий по продуктам и финансовых показателей.   Опредление KPI бизнеса, проверка отчетности по ним и повышение качества их мониторинга.   Взаимодействие с бизнес-подразделениями для уточнения требований и представления аналитических выводов.      Кого рассматриваем:     - Ты учишься на последних курсах или выпускник технических, экономических или математических специальностей.    Что мы от тебя ждем:      Хорошие базовые знания SQL: умение писать SELECT-запросы, работать с подзапросами, оконными функциями, CTE и агрегатными функциями.   Опыт работы с реляционными базами данных (PostgreSQL, Greenplum, MySQL или другие) будет плюсом.   Навыки работы с Excel (формулы, сводные таблицы).   Навыки работы с BI-инструментами (например, Power BI, Tableau) будет плюсом.   Знание основ статистики, аналитики и обработки данных.   Базовое понимание принципов машинного обучения (будет плюсом).   Умение анализировать данные и делать выводы.   Внимательность к деталям, желание обучаться и развиваться в области аналитики данных.   Готовность работать в команде, инициативность, ответственность.      Мы предлагаем:      Уникальную возможность получить практический опыт в аналитике данных;   Наставничество со стороны опытных специалистов;   Дружный коллектив и комфортную рабочую атмосферу.     Если ты хочешь начать карьеру в аналитике данных и готов к новым вызовам, откликайся!       &quot;&quot;В сопроводительном письме укажите, какую последнюю книгу вы прочитали&quot;&quot; ",156
160,2025-09-02 05:40:33.330861+00,"  Что предполагается делать:      Работа с базами данных (PostgreSQL, ELK, WMS), сбор данных;   Подготовка данных к анализу (выборка, очистка, сортировка);   Систематизация и анализ информации, выявления закономерностей с целью сокращения возможных потерь компании;   Анализ бизнес-процессов и формулирование предложений по их модернизации для минимизации рисков;   Подготовка справочных и аналитических материалов, визуализация данных.      Что мы от вас ожидаем:      Опыт работы аналитиком от 1 года;   Развитые навыки работы в режиме многозадачности;   Знание SQL (Select, Join);   Аналитический склад ума и умение разбираться в больших массивах данных.      Мы предлагаем:      Возможность получить ценный опыт и присоединится к масштабному проекту;   Коллектив профессионалов, где решения принимаются быстро, а идеи внедряются;   Демократичных и адекватных руководителей;   Дружелюбный коллектив;   Трудоустройство согласно ТК РУз;   График работы 5/2, с 09:00 до 18:00.   ",156
161,2025-09-02 05:40:33.330861+00,"  Обязанности:      Формирование управленческой, финансовой и регуляторной отчётности для Центрального банка и других контролирующих органов в соответствии с установленными стандартами.   Анализ проводок и контроль данных сальдово-оборотной ведомости для проверки корректности финансовой информации.   Подготовка аналитических отчетов о движении денежных средств, активах, обязательствах и других показателях деятельности банка.   Верификация данных из различных источников, их консолидация и контроль качества.   Разработка алгоритмов для автоматизации процесса формирования отчётности.   Участие в разработке и поддержании структуры хранилищ данных для целей отчётности.   Сопровождение процессов сверки данных между различными системами (ERP, CRM, внутренние системы учета).   Взаимодействие с командами бухгалтерии, внутреннего аудита и IT для улучшения бизнес-процессов и работы с данными.      Требования:      Уверенное владение SQL для работы с большими массивами данных. Знание Greenplum и Clickhouse будет преимуществом.   Понимание принципов бухгалтерского учёта, в частности работы с сальдово-оборотными ведомостями и проводками.   Опыт работы с банковской или финансовой отчётностью. Знание требований регуляторов (ЦБ и других) будет плюсом.   Навыки работы с BI-инструментами (например, Qlik Sense, Power BI, Apache Superset).   Умение анализировать большие объёмы данных, выявлять ошибки и аномалии.   Знание Excel на уровне продвинутого пользователя (сводные таблицы, макросы, сложные формулы).   Хорошие аналитические и логические способности, внимательность к деталям.   Знание языков:     Русский — уровень не ниже C1;   Английский — уровень B1 (умение читать техническую документацию).    Условия:      Комфортный офис с полным набором техники   Развлечения: настольный теннис, настольный футбол, массажное кресло, мини-зона для занятий спортом и многое другое   Крутые тимбилдинги для укрепления командного духа   Продуктовый подход к работе   Адекватная документация без бюрократии   Коллеги, с которыми приятно сотрудничать и интересно учиться   ",156
162,2025-09-02 05:40:33.330861+00,"  Мы – Meros Pharm , ведущий игрок на фармацевтическом рынке. Наш успех – это результат работы сильной команды, объединенной одной целью.  Meros Pharm  – это не просто работа, а возможность строить карьеру в фармацевтической сфере. Мы поддерживаем сотрудников, предоставляем обучение и создаем условия для профессионального роста. Станьте частью нашей команды!       Мы ищем квалифицированного специалиста с хорошими знаниями программы Excel для работы в нашей команде. Если вы хотите развиваться в области анализа данных эта вакансия для вас!    Требования:      Отличное знание Microsoft Excel (работа с формулами, сводными таблицами, графиками, макросами);   Опыт анализа данных и построения отчетности;   Внимание к деталям и способность работать с большими объемами информации;   Ответственность и аккуратность в работе с данными.      Обязанности:      Сбор и обработка данных;   Проведение анализа и подготовка отчетов;   Разработка и поддержка инструментов для автоматизации отчетности.      Мы предлагаем:      Конкурентоспособную зарплату (оклад+бонусы);   График работы 5/2 с 9:00 до 18:00;   Дружелюбную команду и комфортные условия для работы.     Ждем вас в &quot;Мерос Фарм&quot;! ",156
